,AST_home,BLK_home,DREB_home,FG3A_home,FG3M_home,FGA_home,FGM_home,FTA_home,FTM_home,OREB_home,PF_home,STL_home,TO_home,AST_away,BLK_away,DREB_away,FG3A_away,FG3M_away,FGA_away,FGM_away,FTA_away,FTM_away,OREB_away,PF_away,STL_away,TO_away
629,21.829268292682926,4.146341463414634,32.21951219512195,23.78048780487805,8.902439024390244,85.73170731707317,39.5609756097561,16.658536585365855,12.658536585365853,9.292682926829269,19.536585365853657,7.195121951219512,13.609756097560975,25.24390243902439,5.804878048780488,36.36585365853659,28.951219512195124,10.75609756097561,89.09756097560975,41.8780487804878,20.70731707317073,15.585365853658537,8.926829268292684,19.317073170731707,7.658536585365853,13.951219512195122
381,20.170731707317074,4.804878048780488,35.26829268292683,29.121951219512194,11.024390243902438,86.17073170731707,39.51219512195122,20.536585365853657,16.75609756097561,9.951219512195122,18.682926829268293,6.682926829268292,12.878048780487806,21.51219512195122,4.658536585365853,33.41463414634146,27.634146341463413,9.829268292682928,85.85365853658537,40.09756097560975,24.5609756097561,18.24390243902439,10.048780487804878,20.29268292682927,7.780487804878049,14.024390243902438
752,21.829268292682926,4.146341463414634,32.21951219512195,23.78048780487805,8.902439024390244,85.73170731707317,39.5609756097561,16.658536585365855,12.658536585365853,9.292682926829269,19.536585365853657,7.195121951219512,13.609756097560975,23.24390243902439,5.390243902439025,34.73170731707317,30.804878048780488,11.121951219512194,84.97560975609755,38.21951219512195,19.51219512195122,14.634146341463415,8.804878048780488,20.634146341463413,7.585365853658536,13.878048780487806
548,25.853658536585368,4.853658536585366,36.1219512195122,26.926829268292682,10.390243902439025,89.8780487804878,42.73170731707317,27.70731707317073,22.048780487804876,10.878048780487806,23.902439024390244,7.024390243902439,13.439024390243903,21.609756097560975,3.951219512195122,32.829268292682926,36.24390243902439,12.634146341463415,88.07317073170732,37.97560975609756,22.29268292682927,16.853658536585368,10.878048780487806,22.73170731707317,7.2439024390243905,12.853658536585366
91,23.73170731707317,5.414634146341464,33.36585365853659,29.0,9.512195121951219,85.3170731707317,38.41463414634146,23.78048780487805,18.26829268292683,9.560975609756097,21.48780487804878,8.463414634146341,12.634146341463415,26.048780487804876,6.048780487804878,39.8780487804878,37.63414634146341,12.975609756097562,91.29268292682927,42.73170731707317,23.26829268292683,17.951219512195124,9.439024390243903,20.073170731707318,7.390243902439025,13.073170731707316
593,27.975609756097562,4.902439024390244,36.073170731707314,32.31707317073171,12.048780487804878,89.73170731707317,43.97560975609756,19.682926829268293,15.463414634146341,10.170731707317072,19.24390243902439,8.048780487804878,12.560975609756097,23.634146341463413,4.341463414634147,33.5609756097561,33.75609756097561,11.195121951219512,89.97560975609755,40.951219512195124,22.75609756097561,17.195121951219512,10.146341463414634,18.658536585365855,7.048780487804878,13.317073170731707
432,21.75609756097561,5.073170731707317,34.707317073170735,30.4390243902439,10.707317073170731,82.39024390243902,38.292682926829265,22.365853658536587,17.170731707317074,9.024390243902438,19.902439024390244,8.853658536585366,13.951219512195122,22.48780487804878,4.0,33.24390243902439,33.48780487804878,12.682926829268293,84.5609756097561,39.707317073170735,22.951219512195124,18.170731707317074,8.609756097560975,19.5609756097561,7.146341463414634,13.365853658536585
224,22.609756097560975,3.8048780487804876,33.53658536585366,25.585365853658537,8.75609756097561,88.17073170731707,39.58536585365854,20.097560975609756,15.658536585365853,9.21951219512195,19.73170731707317,7.048780487804878,13.024390243902438,20.829268292682926,4.975609756097561,31.21951219512195,44.31707317073171,15.463414634146341,87.17073170731707,38.97560975609756,22.317073170731707,17.634146341463413,10.21951219512195,22.48780487804878,8.463414634146341,12.75609756097561
260,28.121951219512194,3.4878048780487805,34.8780487804878,36.51219512195122,12.853658536585366,87.14634146341463,42.02439024390244,22.341463414634145,17.878048780487806,9.146341463414634,20.609756097560975,6.975609756097561,12.878048780487806,21.317073170731707,4.512195121951219,34.53658536585366,39.8780487804878,14.21951219512195,85.70731707317073,39.58536585365854,22.048780487804876,17.048780487804876,11.024390243902438,18.21951219512195,7.585365853658536,13.365853658536585
541,27.878048780487806,5.512195121951219,37.34146341463415,29.414634146341463,11.268292682926829,87.39024390243902,42.31707317073171,28.29268292682927,22.341463414634145,10.24390243902439,21.414634146341463,7.317073170731708,13.804878048780488,21.609756097560975,3.951219512195122,32.829268292682926,36.24390243902439,12.634146341463415,88.07317073170732,37.97560975609756,22.29268292682927,16.853658536585368,10.878048780487806,22.73170731707317,7.2439024390243905,12.853658536585366
